Repo,CORE,BASE,AEC,ALL,DEVS
[soz-live](/repos/soz-live.html),Yes,Yes,Yes,Yes,Yes
[soz-files](/repos/soz-files.html),Yes,Yes,Yes,Yes,Yes
[soz-macro](/repos/soz-macro.html),,Yes,Yes,Yes,Yes
[soz-history](/repos/soz-history.html),,Yes,Yes,Yes,Yes
[soz-misc](/repos/soz-misc.html),,Yes,Yes,Yes,Yes
[soz-random](/repos/soz-random.html),,Yes,Yes,Yes,Yes
[soz-odbx](/repos/soz-odbx.html),,Yes,Yes,Yes,Yes
[soz-aec](/repos/soz-aec.html),,,Yes,Yes,Yes
[soz-bsys](/repos/soz-bsys.html),,,Yes,Yes,Yes
[soz-structural](/repos/soz-structural.html),,,Yes,Yes,Yes
[soz-rigging](/repos/soz-rigging.html),,,Yes,Yes,Yes
[soz-slings](/repos/soz-slings.html),,,Yes,Yes,Yes
[soz-animate](/repos/soz-animate.html),,,,Yes,Yes
[soz-devs](/repos/soz-devs.html),,,,,Yes
